INFO  [2020-03-26 04:19:01,973] main                 pid 5329@localhost.localdomain
DEBUG [2020-03-26 04:19:01,975] main                 Using property file /usr/multiverse/bin/multiverse.properties
DEBUG [2020-03-26 04:19:01,980] main                     java.home = /usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.msgsvr_port = 20374
DEBUG [2020-03-26 04:19:01,980] main                     java.vm.info = mixed mode
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.jdbcJarPath = /usr/share/java/mysql-connector-java.jar
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.plugin_dep.Instance = ObjectManager,Quest,MobManager,Inventory,WorldManager
DEBUG [2020-03-26 04:19:01,980] main                     os.version = 3.10.0-1062.18.1.el7.x86_64
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.logs = /usr/multiverse/logs/mv_fantasy
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.plugin_dep.ObjectManager = 
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.log_level = 1
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.packet_aggregation_interval = 0
DEBUG [2020-03-26 04:19:01,980] main                     path.separator = :
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.plugin_dep.Trainer = 
DEBUG [2020-03-26 04:19:01,980] main                     java.vm.version = 25.242-b08
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.quad_tree_node_max_objects = 30
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.mvwfile = /usr/multiverse/config/sampleworld/mv_fantasy.mvw
DEBUG [2020-03-26 04:19:01,981] main                     java.awt.printerjob = sun.print.PSPrinterJob
DEBUG [2020-03-26 04:19:01,981] main                     multiverse.log_rdp_counters = false
DEBUG [2020-03-26 04:19:01,981] main                     sun.io.unicode.encoding = UnicodeLittle
DEBUG [2020-03-26 04:19:01,981] main                     log4j.appender.FILE.File = ${multiverse.logs}/${multiverse.loggername}.out
DEBUG [2020-03-26 04:19:01,981] main                     multiverse.precreated_positional_voice_group = 1
DEBUG [2020-03-26 04:19:01,981] main                     awt.toolkit = sun.awt.X11.XToolkit
DEBUG [2020-03-26 04:19:01,981] main                     user.home = /home/dmckay
DEBUG [2020-03-26 04:19:01,981] main                     java.specification.vendor = Oracle Corporation
DEBUG [2020-03-26 04:19:01,981] main                     multiverse.proxyserver = localhost
DEBUG [2020-03-26 04:19:01,981] main                     multiverse.plugin_dep.WorldManager = 
DEBUG [2020-03-26 04:19:01,981] main                     multiverse.worldmgrport = 5040
DEBUG [2020-03-26 04:19:02,015] main                     java.library.path = /usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib
DEBUG [2020-03-26 04:19:02,015] main                     java.vendor.url = http://java.oracle.com/
DEBUG [2020-03-26 04:19:02,015] main                     multiverse.loggername = objmgr
DEBUG [2020-03-26 04:19:02,015] main                     multiverse.log_proxy_histograms = true
DEBUG [2020-03-26 04:19:02,015] main                     java.vm.vendor = Oracle Corporation
DEBUG [2020-03-26 04:19:02,015] main                     multiverse.db_user = multiverse
DEBUG [2020-03-26 04:19:02,015] main                     java.runtime.name = OpenJDK Runtime Environment
DEBUG [2020-03-26 04:19:02,015] main                     sun.java.command = multiverse.server.engine.Engine -Pmultiverse.worldname= -i /usr/multiverse/config/common/mvmessages.py -i /usr/multiverse/config/mv_fantasy/worldmessages.py -t /usr/multiverse/config/common/typenumbers.txt /usr/multiverse/config/common/global_props.py /usr/multiverse/config/mv_fantasy/global_props.py /usr/multiverse/config/mv_fantasy/templates.py /usr/multiverse/config/common/obj_manager.py /usr/multiverse/config/mv_fantasy/mobs_db.py /usr/multiverse/config/mv_fantasy/items_db.py /usr/multiverse/config/mv_fantasy/extensions_objmgr.py
DEBUG [2020-03-26 04:19:02,016] main                     java.class.path = /usr/multiverse/other/rhino1_5R5/js.jar:/usr/share/java/mysql-connector-java.jar:/usr/multiverse/dist/lib/injected.jar:/usr/multiverse/dist/lib/multiverse.jar:/usr/multiverse/dist/lib/mars.jar:/usr/multiverse/dist/lib/.jar:/usr/multiverse/other/java-getopt-1.0.11.jar:/usr/multiverse/other/jython.jar:/usr/multiverse/other/log4j-1.2.14.jar:/usr/multiverse/other/bcel-5.2.jar:.
DEBUG [2020-03-26 04:19:02,016] main                     multiverse.propertyfile = /usr/multiverse/bin/multiverse.properties
DEBUG [2020-03-26 04:19:02,016] main                     log4j.appender.FILE.MaxBackupIndex = 3
DEBUG [2020-03-26 04:19:02,016] main                     multiverse.db_hostname = localhost
DEBUG [2020-03-26 04:19:02,016] main                     multiverse.db_type = mysql
DEBUG [2020-03-26 04:19:02,016] main                     java.vm.specification.name = Java Virtual Machine Specification
DEBUG [2020-03-26 04:19:02,016] main                     java.vm.specification.version = 1.8
DEBUG [2020-03-26 04:19:02,016] main                     multiverse.plugin_dep.Login = ObjectManager,Instance
DEBUG [2020-03-26 04:19:02,016] main                     sun.cpu.endian = little
DEBUG [2020-03-26 04:19:02,016] main                     sun.os.patch.level = unknown
DEBUG [2020-03-26 04:19:02,016] main                     multiverse.msgsvr_hostname = localhost
DEBUG [2020-03-26 04:19:02,016] main                     multiverse.worldname = 
DEBUG [2020-03-26 04:19:02,016] main                     java.io.tmpdir = /tmp
DEBUG [2020-03-26 04:19:02,016] main                     java.vendor.url.bug = http://bugreport.sun.com/bugreport/
DEBUG [2020-03-26 04:19:02,017] main                     log4j.appender.FILE.MaxFileSize = 50MB
DEBUG [2020-03-26 04:19:02,017] main                     multiverse.db_driver = com.mysql.jdbc.Driver
DEBUG [2020-03-26 04:19:02,017] main                     multiverse.db_name = multiverse
DEBUG [2020-03-26 04:19:02,017] main                     os.arch = amd64
DEBUG [2020-03-26 04:19:02,017] main                     java.awt.graphicsenv = sun.awt.X11GraphicsEnvironment
DEBUG [2020-03-26 04:19:02,017] main                     multiverse.plugin_dep.Voice = Instance
DEBUG [2020-03-26 04:19:02,017] main                     log4j.appender.FILE.layout.ConversionPattern = %-5p [%d{ISO8601}] %-20t %m%n
DEBUG [2020-03-26 04:19:02,017] main                     java.ext.dirs = /usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/lib/ext:/usr/java/packages/lib/ext
DEBUG [2020-03-26 04:19:02,017] main                     multiverse.plugin_dep.ClassAbility = 
DEBUG [2020-03-26 04:19:02,017] main                     user.dir = /usr/multiverse/bin
DEBUG [2020-03-26 04:19:02,017] main                     line.separator = 

DEBUG [2020-03-26 04:19:02,017] main                     java.vm.name = OpenJDK 64-Bit Server VM
DEBUG [2020-03-26 04:19:02,017] main                     multiverse.plugin_dep.Domain = Instance,Proxy,Voice
DEBUG [2020-03-26 04:19:02,017] main                     file.encoding = UTF-8
DEBUG [2020-03-26 04:19:02,018] main                     multiverse.plugin_dep.Combat = 
DEBUG [2020-03-26 04:19:02,018] main                     java.specification.version = 1.8
INFO  [2020-03-26 04:19:02,018] main                 The log level is 1
INFO  [2020-03-26 04:19:02,021] main                 Multiverse server version 1.5 0 (- -)
INFO  [2020-03-26 04:19:02,064] main                 Entered MarshallingRuntime.initializeBatch: reading type nums from '/usr/multiverse/config/common/typenumbers.txt'
INFO  [2020-03-26 04:19:03,527] main                 Entered MarshallingRuntime.initializeBatch: Registered 240 classes
INFO  [2020-03-26 04:19:03,527] main                 Engine: My local host name is 'localhost.localdomain'
DEBUG [2020-03-26 04:19:03,529] main                 Engine, multiverse.cputime_logging_interval disabled
DEBUG [2020-03-26 04:19:03,554] main                 Engine, populateScriptList: option i: /usr/multiverse/config/common/mvmessages.py
DEBUG [2020-03-26 04:19:03,554] main                 Engine, populateScriptList: option i: /usr/multiverse/config/mv_fantasy/worldmessages.py
DEBUG [2020-03-26 04:19:03,554] main                 Engine, populateScriptList: nonoption args element: /usr/multiverse/config/common/global_props.py
DEBUG [2020-03-26 04:19:03,554] main                 Engine, populateScriptList: nonoption args element: /usr/multiverse/config/mv_fantasy/global_props.py
DEBUG [2020-03-26 04:19:03,554] main                 Engine, populateScriptList: nonoption args element: /usr/multiverse/config/mv_fantasy/templates.py
DEBUG [2020-03-26 04:19:03,554] main                 Engine, populateScriptList: nonoption args element: /usr/multiverse/config/common/obj_manager.py
DEBUG [2020-03-26 04:19:03,554] main                 Engine, populateScriptList: nonoption args element: /usr/multiverse/config/mv_fantasy/mobs_db.py
DEBUG [2020-03-26 04:19:03,554] main                 Engine, populateScriptList: nonoption args element: /usr/multiverse/config/mv_fantasy/items_db.py
DEBUG [2020-03-26 04:19:03,554] main                 Engine, populateScriptList: nonoption args element: /usr/multiverse/config/mv_fantasy/extensions_objmgr.py
DEBUG [2020-03-26 04:19:07,521] main                 Engine, Engine: reading in script: /usr/multiverse/config/common/mvmessages.py
DEBUG [2020-03-26 04:19:07,521] main                 Engine, Executing init script file: /usr/multiverse/config/common/mvmessages.py
DEBUG [2020-03-26 04:19:07,521] main                 runPYFile: file=/usr/multiverse/config/common/mvmessages.py
DEBUG [2020-03-26 04:19:09,196] main                 Adding msg type 'mv.PROPERTY', msgNumber 1/0x1
DEBUG [2020-03-26 04:19:09,197] main                 Adding msg type 'mv.LOGIN', msgNumber 2/0x2
DEBUG [2020-03-26 04:19:09,198] main                 Adding msg type 'mv.LOGOUT', msgNumber 3/0x3
DEBUG [2020-03-26 04:19:09,202] main                 Adding msg type 'mv.ANIMATION', msgNumber 4/0x4
DEBUG [2020-03-26 04:19:09,295] main                 Adding msg type 'mv.COM', msgNumber 5/0x5
DEBUG [2020-03-26 04:19:09,296] main                 Adding msg type 'mv.COM_REQ', msgNumber 6/0x6
DEBUG [2020-03-26 04:19:09,296] main                 Adding msg type 'mv.DC_REQ', msgNumber 7/0x7
DEBUG [2020-03-26 04:19:09,296] main                 Adding msg type 'mv.DESPAWNED', msgNumber 8/0x8
DEBUG [2020-03-26 04:19:09,296] main                 Adding msg type 'mv.DESPAWN_REQ', msgNumber 9/0x9
DEBUG [2020-03-26 04:19:09,296] main                 Adding msg type 'mv.DETACH', msgNumber 10/0xa
DEBUG [2020-03-26 04:19:09,296] main                 Adding msg type 'mv.DIR_LOC_ORIENT', msgNumber 11/0xb
DEBUG [2020-03-26 04:19:09,296] main                 Adding msg type 'mv.DISPLAY_CONTEXT', msgNumber 12/0xc
DEBUG [2020-03-26 04:19:09,297] main                 Adding msg type 'mv.EXTENSION', msgNumber 13/0xd
DEBUG [2020-03-26 04:19:09,297] main                 Adding msg type 'mv.FOG', msgNumber 14/0xe
DEBUG [2020-03-26 04:19:09,297] main                 Adding msg type 'mv.FREE_REMOTE_OBJ', msgNumber 15/0xf
DEBUG [2020-03-26 04:19:09,298] main                 Adding msg type 'mv.GETWNODE_REQ', msgNumber 16/0x10
DEBUG [2020-03-26 04:19:09,298] main                 Adding msg type 'mv.MOB_PATH', msgNumber 17/0x11
DEBUG [2020-03-26 04:19:09,298] main                 Adding msg type 'mv.MOB_PATH_CORRECTION', msgNumber 18/0x12
DEBUG [2020-03-26 04:19:09,299] main                 Adding msg type 'mv.MOB_PATH_REQ', msgNumber 19/0x13
DEBUG [2020-03-26 04:19:09,299] main                 Adding msg type 'mv.MODIFY_DC', msgNumber 20/0x14
DEBUG [2020-03-26 04:19:09,299] main                 Adding msg type 'mv.NEW_DIRLIGHT', msgNumber 21/0x15
DEBUG [2020-03-26 04:19:09,299] main                 Adding msg type 'mv.FREE_OBJECT', msgNumber 22/0x16
DEBUG [2020-03-26 04:19:09,299] main                 Adding msg type 'mv.NEW_REGION', msgNumber 23/0x17
DEBUG [2020-03-26 04:19:09,299] main                 Adding msg type 'mv.NEW_REMOTE_OBJ', msgNumber 24/0x18
DEBUG [2020-03-26 04:19:09,299] main                 Adding msg type 'mv.OBJINFO_REQ', msgNumber 25/0x19
DEBUG [2020-03-26 04:19:09,299] main                 Adding msg type 'mv.ORIENT', msgNumber 26/0x1a
DEBUG [2020-03-26 04:19:09,300] main                 Adding msg type 'mv.ORIENT_REQ', msgNumber 27/0x1b
DEBUG [2020-03-26 04:19:09,300] main                 Adding msg type 'mv.PERCEIVER_REGIONS', msgNumber 28/0x1c
DEBUG [2020-03-26 04:19:09,300] main                 Adding msg type 'mv.REFRESH_WNODE', msgNumber 29/0x1d
DEBUG [2020-03-26 04:19:09,300] main                 Adding msg type 'mv.REPARENT_WNODE_REQ', msgNumber 30/0x1e
DEBUG [2020-03-26 04:19:09,300] main                 Adding msg type 'mv.ROAD', msgNumber 31/0x1f
DEBUG [2020-03-26 04:19:09,300] main                 Adding msg type 'mv.FREE_ROAD', msgNumber 32/0x20
DEBUG [2020-03-26 04:19:09,300] main                 Adding msg type 'mv.SETWNODE_REQ', msgNumber 33/0x21
DEBUG [2020-03-26 04:19:09,300] main                 Adding msg type 'mv.SET_AMBIENT', msgNumber 34/0x22
DEBUG [2020-03-26 04:19:09,300] main                 Adding msg type 'mv.SOUND', msgNumber 35/0x23
DEBUG [2020-03-26 04:19:09,301] main                 Adding msg type 'mv.SPAWNED', msgNumber 36/0x24
DEBUG [2020-03-26 04:19:09,301] main                 Adding msg type 'mv.SPAWN_REQ', msgNumber 37/0x25
DEBUG [2020-03-26 04:19:09,301] main                 Adding msg type 'mv.SYS_CHAT', msgNumber 38/0x26
DEBUG [2020-03-26 04:19:09,301] main                 Adding msg type 'mv.TARGETED_PROPERTY', msgNumber 39/0x27
DEBUG [2020-03-26 04:19:09,301] main                 Adding msg type 'mv.UPDATEWNODE', msgNumber 40/0x28
DEBUG [2020-03-26 04:19:09,301] main                 Adding msg type 'mv.UPDATEWNODE_REQ', msgNumber 41/0x29
DEBUG [2020-03-26 04:19:09,301] main                 Adding msg type 'mv.UPDATE_OBJECT', msgNumber 42/0x2a
DEBUG [2020-03-26 04:19:09,301] main                 Adding msg type 'mv.WNODECORRECT', msgNumber 43/0x2b
DEBUG [2020-03-26 04:19:09,301] main                 Adding msg type 'mv.P2P_EXTENSION', msgNumber 44/0x2c
DEBUG [2020-03-26 04:19:09,302] main                 Adding msg type 'mv.PERCEPTION_INFO', msgNumber 45/0x2d
DEBUG [2020-03-26 04:19:09,302] main                 Adding msg type 'mv.PERCEPTION', msgNumber 46/0x2e
DEBUG [2020-03-26 04:19:09,302] main                 Adding msg type 'mv.HOST_INSTANCE', msgNumber 47/0x2f
DEBUG [2020-03-26 04:19:09,302] main                 Adding msg type 'mv.PLAYER_PATH_WM_REQ', msgNumber 48/0x30
DEBUG [2020-03-26 04:19:09,305] main                 Adding msg type 'mv.SET_PERSISTENCE', msgNumber 49/0x31
DEBUG [2020-03-26 04:19:09,305] main                 Adding msg type 'mv.SET_SUBPERSISTENCE', msgNumber 50/0x32
DEBUG [2020-03-26 04:19:09,305] main                 Adding msg type 'mv.LOAD_OBJECT', msgNumber 51/0x33
DEBUG [2020-03-26 04:19:09,305] main                 Adding msg type 'mv.LOAD_SUBOBJECT', msgNumber 52/0x34
DEBUG [2020-03-26 04:19:09,306] main                 Adding msg type 'mv.LOAD_OBJECT_DATA', msgNumber 53/0x35
DEBUG [2020-03-26 04:19:09,306] main                 Adding msg type 'mv.SAVE_OBJECT_DATA', msgNumber 54/0x36
DEBUG [2020-03-26 04:19:09,306] main                 Adding msg type 'mv.SAVE_OBJECT', msgNumber 55/0x37
DEBUG [2020-03-26 04:19:09,389] main                 Adding msg type 'mv.SAVE_SUBOBJECT', msgNumber 56/0x38
DEBUG [2020-03-26 04:19:09,389] main                 Adding msg type 'mv.GENERATE_OBJECT', msgNumber 57/0x39
DEBUG [2020-03-26 04:19:09,389] main                 Adding msg type 'mv.GENERATE_SUB_OBJECT', msgNumber 58/0x3a
DEBUG [2020-03-26 04:19:09,390] main                 Adding msg type 'mv.SUB_OBJECT_DEPS_READY', msgNumber 59/0x3b
DEBUG [2020-03-26 04:19:09,390] main                 Adding msg type 'mv.REGISTER_TEMPLATE', msgNumber 60/0x3c
DEBUG [2020-03-26 04:19:09,390] main                 Adding msg type 'mv.GET_TEMPLATE', msgNumber 61/0x3d
DEBUG [2020-03-26 04:19:09,390] main                 Adding msg type 'mv.GET_TEMPLATE_NAMES', msgNumber 62/0x3e
DEBUG [2020-03-26 04:19:09,390] main                 Adding msg type 'mv.UNLOAD_OBJECT', msgNumber 63/0x3f
DEBUG [2020-03-26 04:19:09,390] main                 Adding msg type 'mv.UNLOAD_SUBOBJECT', msgNumber 64/0x40
DEBUG [2020-03-26 04:19:09,391] main                 Adding msg type 'mv.DELETE_OBJECT', msgNumber 65/0x41
DEBUG [2020-03-26 04:19:09,391] main                 Adding msg type 'mv.DELETE_SUBOBJECT', msgNumber 66/0x42
DEBUG [2020-03-26 04:19:09,391] main                 Adding msg type 'mv.FIX_WNODE_REQ', msgNumber 67/0x43
DEBUG [2020-03-26 04:19:09,391] main                 Adding msg type 'mv.GET_NAMED_OBJECT', msgNumber 68/0x44
DEBUG [2020-03-26 04:19:09,391] main                 Adding msg type 'mv.GET_OBJECT_STATUS', msgNumber 69/0x45
DEBUG [2020-03-26 04:19:09,393] main                 Adding msg type 'mv.ADD_ITEM', msgNumber 70/0x46
DEBUG [2020-03-26 04:19:09,393] main                 Adding msg type 'mv.CREATE_INV', msgNumber 71/0x47
DEBUG [2020-03-26 04:19:09,393] main                 Adding msg type 'mv.INV_UPDATE', msgNumber 72/0x48
DEBUG [2020-03-26 04:19:09,393] main                 Adding msg type 'mv.ACTIVATE', msgNumber 73/0x49
DEBUG [2020-03-26 04:19:09,393] main                 Adding msg type 'mv.LOOTALL', msgNumber 74/0x4a
DEBUG [2020-03-26 04:19:09,394] main                 Adding msg type 'mv.INV_FIND', msgNumber 75/0x4b
DEBUG [2020-03-26 04:19:09,394] main                 Adding msg type 'mv.INV_REMOVE', msgNumber 76/0x4c
DEBUG [2020-03-26 04:19:09,394] main                 Adding msg type 'mv.DESTROY_ITEM', msgNumber 77/0x4d
DEBUG [2020-03-26 04:19:09,397] main                 Adding msg type 'mv.NOTIFY_REACTION_RADIUS', msgNumber 78/0x4e
DEBUG [2020-03-26 04:19:09,477] main                 Adding msg type 'mv.DUMP_ALL_THREAD_STACKS', msgNumber 79/0x4f
DEBUG [2020-03-26 04:19:09,478] main                 Adding msg type 'mv.GET_PROPERTY', msgNumber 80/0x50
DEBUG [2020-03-26 04:19:09,478] main                 Adding msg type 'mv.PLUGIN_STATE', msgNumber 81/0x51
DEBUG [2020-03-26 04:19:09,478] main                 Adding msg type 'mv.SET_PROPERTY', msgNumber 82/0x52
DEBUG [2020-03-26 04:19:09,478] main                 Adding msg type 'mv.SET_PROPERTY_NONBLOCK', msgNumber 83/0x53
DEBUG [2020-03-26 04:19:09,478] main                 Adding msg type 'mv.TRANSFER_OBJECT', msgNumber 84/0x54
DEBUG [2020-03-26 04:19:09,480] main                 Adding msg type 'mv.COMMAND', msgNumber 85/0x55
DEBUG [2020-03-26 04:19:09,480] main                 Adding msg type 'mv.EVENT', msgNumber 86/0x56
DEBUG [2020-03-26 04:19:09,578] main                 Adding msg type 'mv.REQ_QUEST_INFO', msgNumber 87/0x57
DEBUG [2020-03-26 04:19:09,578] main                 Adding msg type 'mv.REQ_CONCLUDE_QUEST', msgNumber 88/0x58
DEBUG [2020-03-26 04:19:09,578] main                 Adding msg type 'mv.QUEST_INFO', msgNumber 89/0x59
DEBUG [2020-03-26 04:19:09,579] main                 Adding msg type 'mv.GET_QUEST_STATUS', msgNumber 90/0x5a
DEBUG [2020-03-26 04:19:09,745] main                 Adding msg type 'mv.QUEST_RESP', msgNumber 91/0x5b
DEBUG [2020-03-26 04:19:09,745] main                 Adding msg type 'mv.NEW_QUESTSTATE', msgNumber 92/0x5c
DEBUG [2020-03-26 04:19:09,745] main                 Adding msg type 'mv.CONCLUDE_QUEST', msgNumber 93/0x5d
DEBUG [2020-03-26 04:19:09,745] main                 Adding msg type 'mv.QUEST_STATE_STATUS_CHANGE', msgNumber 94/0x5e
DEBUG [2020-03-26 04:19:09,745] main                 Adding msg type 'mv.QUEST_LOG_INFO', msgNumber 95/0x5f
DEBUG [2020-03-26 04:19:09,745] main                 Adding msg type 'mv.QUEST_STATE_INFO', msgNumber 96/0x60
DEBUG [2020-03-26 04:19:09,745] main                 Adding msg type 'mv.REMOVE_QUEST_RESP', msgNumber 97/0x61
DEBUG [2020-03-26 04:19:09,746] main                 Adding msg type 'mv.REQ_RESET_QUESTS', msgNumber 98/0x62
DEBUG [2020-03-26 04:19:09,747] main                 Adding msg type 'mv.MARS_INV_FIND', msgNumber 99/0x63
DEBUG [2020-03-26 04:19:09,747] main                 Adding msg type 'mv.TRADE_START_REQ', msgNumber 100/0x64
DEBUG [2020-03-26 04:19:09,747] main                 Adding msg type 'mv.TRADE_START', msgNumber 101/0x65
DEBUG [2020-03-26 04:19:09,747] main                 Adding msg type 'mv.TRADE_COMPLETE', msgNumber 102/0x66
DEBUG [2020-03-26 04:19:09,747] main                 Adding msg type 'mv.TRADE_OFFER_REQ', msgNumber 103/0x67
DEBUG [2020-03-26 04:19:09,748] main                 Adding msg type 'mv.TRADE_OFFER_UPDATE', msgNumber 104/0x68
DEBUG [2020-03-26 04:19:09,748] main                 Adding msg type 'mv.SWAP_ITEM', msgNumber 105/0x69
DEBUG [2020-03-26 04:19:09,749] main                 Adding msg type 'mv.AUTO_ATTACK', msgNumber 106/0x6a
DEBUG [2020-03-26 04:19:09,749] main                 Adding msg type 'mv.START_ABILITY', msgNumber 107/0x6b
DEBUG [2020-03-26 04:19:09,749] main                 Adding msg type 'mv.COOLDOWN', msgNumber 108/0x6c
DEBUG [2020-03-26 04:19:09,750] main                 Adding msg type 'mv.ABILITY_PROGRESS', msgNumber 109/0x6d
DEBUG [2020-03-26 04:19:09,750] main                 Adding msg type 'mv.DAMAGE', msgNumber 110/0x6e
DEBUG [2020-03-26 04:19:09,750] main                 Adding msg type 'mv.RELEASE_OBJECT', msgNumber 111/0x6f
DEBUG [2020-03-26 04:19:09,750] main                 Adding msg type 'mv.ABILITY_UPDATE', msgNumber 112/0x70
DEBUG [2020-03-26 04:19:09,750] main                 Adding msg type 'mv.ADD_SKILL', msgNumber 113/0x71
DEBUG [2020-03-26 04:19:09,750] main                 Adding msg type 'mv.TRAINING_FAILED', msgNumber 114/0x72
DEBUG [2020-03-26 04:19:09,750] main                 Adding msg type 'mv.COMBAT_ABILITY_MISSED', msgNumber 115/0x73
DEBUG [2020-03-26 04:19:09,750] main                 Adding msg type 'mv.SKILL_UPDATE', msgNumber 116/0x74
DEBUG [2020-03-26 04:19:09,751] main                 Adding msg type 'mv.INVOKE_EFFECT', msgNumber 117/0x75
DEBUG [2020-03-26 04:19:09,754] main                 Adding msg type 'mv.REGISTER_INSTANCE_TEMPLATE', msgNumber 118/0x76
DEBUG [2020-03-26 04:19:09,754] main                 Adding msg type 'mv.CREATE_INSTANCE', msgNumber 119/0x77
DEBUG [2020-03-26 04:19:09,754] main                 Adding msg type 'mv.GET_INSTANCE_INFO', msgNumber 120/0x78
DEBUG [2020-03-26 04:19:09,754] main                 Adding msg type 'mv.INSTANCE_ENTRY_REQ', msgNumber 121/0x79
DEBUG [2020-03-26 04:19:09,754] main                 Adding msg type 'mv.GET_MARKER', msgNumber 122/0x7a
